# Chunk-averaged data for fix chunk and group B
# Timestep Number-of-chunks Total-count
# Chunk OrigID Coord1 Ncount c_ke1 temp c_stress4[1] c_displace1[1] c_disp c_stress5[1]
100100 173 3444
  72 75 152.806 12 0.000604313 4.67517 49817.8 0.0130275 12.0472 49817.8
  73 76 154.806 24 0.000687513 5.31883 50602.7 0.013803 13.1141 50602.7
  74 77 156.806 24 0.000545524 4.22035 51578.7 0.0144799 13.1145 51578.7
  75 78 158.806 12 0.000313246 2.42337 52210.1 0.0149465 14.1814 52210.1
  76 79 160.806 24 0.000111641 0.863694 52631 0.015618 13.1151 52631
  77 80 162.806 24 5.55717e-05 0.429921 52797.6 0.016914 13.1155 52797.6
  78 81 164.806 12 0.000191672 1.48284 52611.9 0.0181208 12.0491 52611.9
  79 82 166.806 24 0.00040838 3.15936 52209.5 0.0193358 13.1161 52209.5
  80 83 168.806 24 0.000603569 4.66941 51592.1 0.0205879 13.1165 51592.1
  81 84 170.806 12 0.000603099 4.66578 51169.6 0.0210764 14.1835 51169.6
  82 85 172.806 24 0.000467191 3.61435 50804.3 0.0210546 13.1171 50804.3
  83 86 174.806 24 0.000222385 1.72044 50215.3 0.0204617 13.1176 50215.3
  84 87 176.806 12 8.07332e-05 0.624579 49600.7 0.0197695 12.0512 49600.7
  85 88 178.806 24 4.54685e-05 0.351759 48752.1 0.019125 13.1182 48752.1
  86 89 180.806 24 0.000122815 0.950137 47318.4 0.0186673 13.1187 47318.4
  87 90 182.806 12 0.00022282 1.72381 46085 0.0186787 14.1857 46085
  88 91 184.806 24 0.000298515 2.30941 44846.2 0.0189158 13.1193 44846.2
  89 92 186.806 24 0.000314363 2.43201 43276.2 0.0191837 13.1198 43276.2
  90 93 188.806 12 0.00026197 2.02669 42159.5 0.0191002 12.0534 42159.5
  91 94 190.806 24 0.000175775 1.35986 41081.7 0.0185595 13.1204 41081.7
  92 95 192.806 22.68 7.31728e-05 0.566089 39598.8 0.0170266 13.1554 39598.8
  93 96 194.806 13.32 3.14604e-05 0.243388 38226 0.0166352 14.0234 38226
  94 97 196.806 24 3.38718e-05 0.262044 36756.3 0.0148775 13.1215 36756.3
  95 98 198.806 12 6.76387e-05 0.523276 35226.8 0.0138752 12.0551 35226.8
  96 99 200.806 24 0.000110752 0.856812 33649.6 0.013231 13.1221 33649.6
  97 100 202.806 24 0.000133188 1.03038 31633.2 0.0127621 13.1225 31633.2
  98 101 204.806 12 0.00010885 0.842098 30240 0.0125001 14.1895 30240
  99 102 206.806 24 5.85666e-05 0.453091 28938.5 0.0120231 13.1231 28938.5
  100 103 208.806 24 1.4794e-05 0.114451 27178.9 0.0108254 13.1236 27178.9
  101 104 210.806 12 3.27261e-05 0.25318 25738.9 0.00953669 12.0572 25738.9
  102 105 212.806 24 9.79667e-05 0.757903 24120.1 0.00813187 13.1241 24120.1
  103 106 214.806 24 0.000180715 1.39807 21755.3 0.00658639 13.1245 21755.3
